,URL
13,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20deep%20learning&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
14,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20neural%20network&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
15,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20embedding&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
16,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20interpretable&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
17,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20autoencoders&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
18,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20CNN&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
19,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20convolutional&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
20,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20LSTM&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
21,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20long%20short-term%20memory&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
22,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20NLP&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
23,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20Natural%20Language%20Processing&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
24,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20transformer&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
25,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antimicrobial%20resistance%20BERT&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
26,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20deep%20learning&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
27,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20neural%20network&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
28,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20embedding&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
29,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20interpretable&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
30,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20autoencoders&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
31,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20CNN&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
32,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20convolutional&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
33,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20LSTM&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
34,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20long%20short-term%20memory&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
35,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20NLP&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
36,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20Natural%20Language%20Processing&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
37,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20transformer&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
38,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=AMR%20BERT&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
