Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
CFCS: A Robust and Efficient Collaboration Framework for Automatic Modulation Recognition,J. Shi; X. Yang; J. Ma; G. Yue,"Key Laboratory of Medical Electronics and Digital Health of Zhe- jiang Province, Jiaxing 314001, China; School of Computer Engineering and Science, Shanghai University, Shanghai 200444, China. Key Laboratory of Medical Electronics and Digital Health of Zhejiang Province, Jiaxing 314001, China; Research Center of Cyber Science and Technology, Hangzhou Innovation Institute, Beihang University, Hangzhou 311228, China; College of Information Science and Engineering, Jiaxing University, Jiaxing 314001, China. Key Laboratory of Medical Electronics and Digital Health of Zhejiang Province, Jiaxing 314001, China",Journal of Communications and Information Networks,4 Oct 2023,2023,8,3.0,283,294,"Most of the existing automatic modulation recognition (AMR) studies focus on optimizing the network structure to improve performance, without fully considering cooperation among the basic networks to play their respective advantages. In this paper, we propose a robust and efficient collaboration framework based on the combination scheme (CFCS). This scheme effectively explores the spatial and temporal characteristics of complex signals by associating the advantages of convo- lutional neural network (CNN) and long and short-term memory (LSTM) network. In addition, the robustness of the CFCS is verified by transfer learning. Experiments demonstrate that the recognition rate of CFCS for highorder modulation signals such as 64QAM, 128QAM, and 256QAM is more than 90% at high signal-to-noise ratios (SNRs), and 24 modulation types are effectively identified. Moreover, CFCS was transferred from RML2018.01a to RML2016.10b using transfer learning, which can still be deployed efficiently while reducing the training time by 20%. The CFCS has strong generalization ability and excellent recognition performance.",2509-3312,,10.23919/JCIN.2023.10272355,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10272355,AMR;CNN;LSTM;combination scheme;transfer learning,Modulation;Feature extraction;Training;Signal to noise ratio;Ensemble learning;Convolutional neural networks;Wireless communication,,1.0,,,,4 Oct 2023,,,PTP,PTP Journals
A Transformer-BERT Integrated Model-Based Automatic Conversation Method Under English Context,X. Li; T. Liu; L. Zhang; F. Alqahtani; A. Tolba,"Department of Foreign Languages and Literature, Gongqing College of Nanchang University, Jiujiang, China; School of Economics and Management, Gannan University of Science and Technology, Ganzhou, China; Department of Foreign Languages and Literature, Gongqing College of Nanchang University, Jiujiang, China; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, Community College, King Saud University, Riyadh, Saudi Arabia",IEEE Access,23 Apr 2024,2024,12,,55757,55767,"The contextual understanding ability in complex conversation scenarios has been a challenging issue, and existing methods mostly failed to possess such characteristics. To bridge such gap, this paper formulates a novel composite large language model to investigate such issue. As a result, taking English context as the scene, a Transformer-BERT integrated model-based automatic conversation model is proposed in this work. Firstly, the unidirectional BERT-based automatic conversation model is improved by introducing attention mechanism. It is expected to enhance feature expression for conversation texts by linking context to identify long-difficult sentences. Besides, a bidirectional Transformer encoder is utilized as the input layer before the BERT encoder. Through the two modules, dynamic language training based on English situational conversations can be completed to build the automatic conversation model. The proposed conversation model is further assessed on massive real-world English language context in terms of conversation performance. The experimental results show that compared with traditional rule-based or machine learning methods, the proposal has significantly improved response quality and fluency in English context. It can more accurately understand context, capture subtle semantic differences, and generate more coherent responses.",2169-3536,,10.1109/ACCESS.2024.3388100,"Researchers Supporting Project(grant numbers:RSPD2024R681); King Saud University, Riyadh, Saudi Arabia; Key Project of the 14th Five-Year Plan of Jiangxi Provincial Education Sciencce, in 2023(grant numbers:23ZD046); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10497586,Large language model;automatic conversation;semantic context;natural language processing,Oral communication;Context modeling;Transformers;Natural language processing;Task analysis;Semantics;Training;Large language models,,,,31.0,CCBY,12 Apr 2024,,,IEEE,IEEE Journals
Adaptive Multi-Dimensional Shrinkage Block for Automatic Modulation Recognition,T. Wei; Z. Li; D. Bi; Z. Shao; J. Gao,"State Key Laboratory of Integrated Services Networks, Xidian University, Xi’an, China; State Key Laboratory of Integrated Services Networks, Xidian University, Xi’an, China; State Key Laboratory of Integrated Services Networks, Xidian University, Xi’an, China; Department of Computer Science, Hong Kong Baptist University, Kowloon Tong, Hong Kong; State Key Laboratory of Integrated Services Networks, Xidian University, Xi’an, China",IEEE Communications Letters,10 Nov 2023,2023,27,11.0,2968,2972,"Low Signal-to-Noise Ratio (SNR) conditions pose significant challenges in Automatic Modulation Recognition (AMR) tasks. In this letter, we propose an innovative Multi-Dimensional Shrinkage Block (MDSB) to address these challenges. MDSB is a novel Convolutional Neural Network (CNN) architecture that effectively enhances the noise robustness of CNNs by employing a unique denoising mechanism, which tackles the limitations of CNNs in extracting temporal information. Leveraging the MDSB, a new AMR network named the Spatial and Channel-wise Shrinkage Neural Network (SCSNN) is introduced. Comprehensive experiments on multiple public datasets demonstrate the superior recognition performance of the proposed SCSNN model in comparison to other methods.",1558-2558,,10.1109/LCOMM.2023.3314623,National Key Research and Development Program of China(grant numbers:2022YFC3301300); National Natural Science Foundation for Distinguished Young Scholar(grant numbers:61825104); Innovative Research Groups of the National Natural Science Foundation of China(grant numbers:62121001); Key Research and Development Projects of Shaanxi Province(grant numbers:2022KW-03); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10247564,Automatic modulation recognition;noise adaptive reduction;deep learning;soft thresholding,Modulation;Signal to noise ratio;Convolution;Convolutional neural networks;Filtering;Wireless communication;Training,,,,15.0,IEEE,12 Sep 2023,,,IEEE,IEEE Journals
FedSL: A Communication-Efficient Federated Learning With Split Layer Aggregation,W. Zhang; T. Zhou; Q. Lu; Y. Yuan; A. Tolba; W. Said,"College of Computer Science and Technology, China University of Petroleum (East China), Qingdao, Shandong, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, Hunan, China; Data61, Commonwealth Scientific and Industrial Research Organisation, Sydney, NSW, Australia; School of Mathematics, Renmin University of China, Beijing, China; Computer Science Department, Community College, King Saud University, Riyadh, Saudi Arabia; Computer Science Department, Faculty of Computers and Informatics, Zagazig University, Zagazig, Egypt",IEEE Internet of Things Journal,25 Apr 2024,2024,11,9.0,15587,15601,"Federated learning (FL) can train a model collaboratively through multiple remote clients without sharing raw data. The challenge of federated learning (FL) is how to decrease network transmissions. This article aims to reduce network traffic by transmitting fewer neural network parameters. We first investigate similarities of different corresponding layers of convolutional neural network (CNN) models in FL, and find that there is a lot of redundant information in its model feature extractors. For this, we propose a communication-efficient federated aggregation algorithm named FedSL (Federated Split Layers) to reduce the communication overhead. Based on the number of global model layers, the FedSL divides client models into groups in the depth dimension. A Max-Min client selection strategy is employed to select participants for each layer. Each client only transfers partial parameters of those layers that are selected, which reduces the number of parameters. FedSL aggregates the global model in each group and concatenates the parameters of all groups according to the order of layers. The experimental results demonstrate that FedSL improves communication efficiency compared to the algorithms (e.g., FedAvg, FedProx, and MOON), decreasing 42% communication cost with VGG-style CNN and 70% with ResNet-9, while maintaining a similar model accuracy with baseline algorithms.",2327-4662,,10.1109/JIOT.2024.3350241,"National Natural Science Foundation of China(grant numbers:62072469); Researchers Supporting Project King Saud University, Riyadh, Saudi Arabia(grant numbers:RSPD2024R681); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10382156,Client selection;communication cost;federated learning (FL);split aggregation,Feature extraction;Federated learning;Costs;Adaptation models;Data models;Internet of Things;Computational modeling,,,,40.0,IEEE,5 Jan 2024,,,IEEE,IEEE Journals
Attributed Network Embedding Using an Improved Weisfeiler-Lehman Schema and a Novel Deep Skip-Gram,A. Al-Furas; M. F. Alrahmawy; A. Alblwi; W. M. Al-Adrousy; S. Elmougy,"Computer Science Department, Ibb University, Ibb, Yemen; Computer Science Department, Faculty of Computers and Information, Mansoura University, Mansoura, Egypt; Department of Computer Science, Applied College, Taibah University, Medina, Saudi Arabia; Computer Science Department, Faculty of Computers and Information, Mansoura University, Mansoura, Egypt; Computer Science Department, Faculty of Computers and Information, Mansoura University, Mansoura, Egypt",IEEE Access,12 Oct 2023,2023,11,,110102,110123,"Attributed Network Embedding (ANE) and the representation of its nodes in a low-dimensional space is a pivotal step in the analysis of real-world networks. One of the biggest challenges in the embedding process of nodes in complex networks is to capture any dynamic changes in both the node itself and in its adjacent. To address the above challenge, in this paper, we propose a novel ANE model that combines an improved Weisfeiler-Lehman Information Aggregation (WLIA) schema with a novel Deep Skip-Gram (DSG) approach. First, an information aggregation of network data is performed using an improved Weisfeiler-Lehman, which captures each node’s attributes and combines them with the attributes of its adjacent nodes in a mathematically proven balanced and fair manner. Next, a novel deep autoencoder model that adopts the Skip-Gram approach to capture the high non-linearity among the nodes and between nodes with their attributes is proposed. In the DSG approach, a deep encoder is paired with a set of deep decoders; the main decoder is for the node itself and the secondary deep decoders act as attention decoders to extract common features from its neighbors. Extensive experimental evaluations have demonstrated that the proposed method is superior in performance compared to recent network embedding models.",2169-3536,,10.1109/ACCESS.2023.3320059,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10265055,Attributed network embedding;Weisfeiler-Lehman;skip-gram;random walks;autoencoder,Mathematical models;Kernel;Complex networks;Graph neural networks;Feature extraction;Decoding;Task analysis;Encoding,,,,66.0,CCBYNCND,27 Sep 2023,,,IEEE,IEEE Journals
Abandon Locality: Frame-Wise Embedding Aided Transformer for Automatic Modulation Recognition,Y. Chen; B. Dong; C. Liu; W. Xiong; S. Li,"National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China; National Key Laboratory of Science and Technology on Communications, University of Electronic Science and Technology of China, Chengdu, China",IEEE Communications Letters,6 Jan 2023,2023,27,1.0,327,331,"Automatic modulation recognition (AMR) has been considered as an efficient technique for non-cooperative communication and intelligent communication. In this work, we propose a modified transformer-based method for AMR, called frame-wise embedding aided transformer (FEA-T), aiming to extract the global correlation feature of the signal to obtain higher classification accuracy as well as lower time cost. To enhance the global modeling capability of the transformer, we design a frame-wise embedding module (FEM) to aggregate more samples into a token in the embedding stage to generate a more efficient token sequence. We also present the optimal frame length by analyzing the representation ability of each transformer layer for a better trade-off between the speed and the performance. Moreover, we design a novel dual-branch gate linear unit (DB-GLU) scheme for the feed-forward network of the transformer to reduce the model size and enhance the performance. Experimental results on RadioML2018.01A datasets demonstrate that the proposed method outperforms state-of-the-art works in terms of recognition accuracy and running speed.",1558-2558,,10.1109/LCOMM.2022.3213523,National Key Research and Development Program of China(grant numbers:2020YFB1807700); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9915584,Automatic modulation recognition;deep learning;transformer,Transformers;Feature extraction;Task analysis;Modulation;Finite element analysis;Symbols;Costs,,8.0,,18.0,IEEE,10 Oct 2022,,,IEEE,IEEE Journals
DB-CBIL: A DistilBert-Based Transformer Hybrid Model Using CNN and BiLSTM for Software Vulnerability Detection,A. Bahaa; A. E. -R. Kamal; H. Fahmy; A. S. Ghoneim,"Department of Information Systems, Faculty of Computers and Artificial Intelligence, Helwan University, Helwan, Egypt; Department of Information Systems, Faculty of Computers and Artificial Intelligence, Helwan University, Helwan, Egypt; Department of Information Systems, Faculty of Computers and Artificial Intelligence, Helwan University, Helwan, Egypt; Department of Computer Science, Faculty of Computers and Artificial Intelligence, Helwan University, Helwan, Egypt",IEEE Access,9 May 2024,2024,12,,64446,64460,"Software vulnerabilities are among the significant causes of security breaches. Vulnerabilities can severely compromise software security if exploited by malicious attacks and may result in catastrophic losses. Hence, Automatic vulnerability detection methods promise to mitigate attack risks and safeguard software security. This paper introduces a novel model for automatic vulnerability detection of source code vulnerabilities dubbed DB-CBIL using a hybrid deep learning model based on Distilled Bidirectional Encoder Representations from Transformers (DistilBERT). The proposed model considers contextualized word embeddings using the language model for the syntax and semantics of source code functions based on the Abstract Syntax Tree (AST) representation. The model includes two main phases. First, using a vulnerable code dataset, the pre-trained DistilBert transformer is fine-tuned for word embedding. Second, a hybrid deep learning model detects which code functions are vulnerable. The hybrid model is built on two Deep Neural Networks (DNN). The first model is the Convolutional Neural Network (CNN), which is used for extracting features. The second model is Bidirectional-LSTM (BiLSTM), which has been used to maintain the sequential order of the data as it can handle lengthy token sequences. The utilized source code dataset is derived from the Software Assurance Reference Database (SARD) benchmark dataset. Final experimental findings show that the proposed model outperforms the state-of-the-art approaches’ performance by improving precision, recall, F1-score, and False Negative Rate (FNR) by 2.41%-8.95%, 4.0%-16.28%, 1.85%-12.74%, and 18% respectively. The proposed model reports the lowest FNR in the literature, a significant achievement given the cost-based nature of vulnerability detectors.",2169-3536,,10.1109/ACCESS.2024.3396410,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10517582,Automatic vulnerability detection;BERT;deep learning;DistilBERT;transformers,Convolutional neural networks;Codes;Transformers;Source coding;Security;Feature extraction;Detection algorithms;Deep learning;Software quality,,,,69.0,CCBY,2 May 2024,,,IEEE,IEEE Journals
Enhancing Bug Localization Using Phase-Based Approach,A. M. Mohsen; H. A. Hassan; K. T. Wassif; R. Moawad; S. H. Makady,"Department of Computer Science, Faculty of Computers and Information Technology, Future University in Egypt, Cairo, Egypt; Department of Computer Science, Faculty of Computers and Artificial Intelligence, Cairo University, Cairo, Egypt; Department of Computer Science, Faculty of Computers and Artificial Intelligence, Cairo University, Cairo, Egypt; Department of Computer Science, Faculty of Computers and Information Technology, Future University in Egypt, Cairo, Egypt; Department of Computer Science, Faculty of Computers and Artificial Intelligence, Cairo University, Cairo, Egypt",IEEE Access,13 Apr 2023,2023,11,,35901,35913,"Software bug localization is an important step in the software maintenance process. Automatic bug localization can reduce the time consumed in the process of localization. Some techniques are applied in the bug localization process, but those techniques suffer from limitations in time and accuracy. This paper proposes a phase-based bug localization approach to overcome these limitations. The approach is composed of three main phases which are raw data preparation, package classification, and source code recommendation. The main input to our approach is a bug report and the source code of the past versions for the target system of interest. From the bug report, various information is utilized: the summary, the description, the stack traces, and the fixed source code files. The raw data preparation phase is used to restructure those inputs. The package classification phase aims to locate the package that would include the source code to be modified as a first step, hence reducing the time needed to locate the source code file due to the lexical mismatch between those files and the bug report data. Bidirectional Encoder Representations from Transformers (BERT), which is a sentence embedding technique, is utilized in the package classification and source code recommendation phases. The experimental results show that our approach outperforms existing approaches according to TOP-N rank and Mean Reciprocal Rank (MRR) evaluation metrics.",2169-3536,,10.1109/ACCESS.2023.3265731,Future University in Egypt; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10097736,Bug localization;bidirectional encoder representations from transformers (BERT),Computer bugs;Source coding;Encoding;Location awareness;Task analysis;Codes;Data mining,,,,40.0,CCBY,10 Apr 2023,,,IEEE,IEEE Journals
Image Captioning With Novel Topics Guidance and Retrieval-Based Topics Re-Weighting,M. Al-Qatf; X. Wang; A. Hawbani; A. Abdussalam; S. H. Alsamhi,"School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China; School of Information Science and Technology, University of Science and Technology of China, Hefei, China; Insight Centre for Data Analytics, National University of Ireland, Galway, Ireland",IEEE Transactions on Multimedia,2 Nov 2023,2023,25,,5984,5999,"Topic modelling (TM) has shown significant progress in boosting the effectiveness of image captioning in the last few years. Although important improvements have been shown in previous topic-guided image captioning models, some challenges remain unsolved, such as the independence of the topic predictors and the sentence generators, resulting in ineffective exploitation of semantic information. Also, all the predicted topics or the top-one topic are used throughout the whole captioning task without considering the current time step's linguistic context, which deviates the captioning network to focus on inaccurate image objects. To tackle these challenges, we propose a novel image captioning method consisting of four modules: enhanced topic predictor (ETP), retrieval-based topics re-weighting module (RTR), subsequent topic predictor (STP), and caption generation module. The prediction and generation modules are trained in an end-to-end manner to promote the efficient use of topics by predicting suitable topics at each time step. ETP predicts the topics using the image features, and is enhanced with topic embedding (TE). The RTR is only applied in the testing stage for re-weighting the topics predicted by ETP. In each time step, the STP automatically predicts concise topics subsets to alleviate the diversity of the image topics. Compared with the existing topic-based models, our model can automatically generate more accurate and diverse captions, boosting the explainability of how the topics influence the generated word in each time step. Extensive experiments on the MS-COCO and Flickr30K benchmark datasets show that our method enhances the overall image captioning's performance and the topic prediction task, and outperforms many recent image captioning approaches in terms of the evaluation metrics.",1941-0077,,10.1109/TMM.2022.3202690,National Administration of Traditional Chinese Medicine(grant numbers:ZYYCXTD-D-202208); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9869686,End-to-end manner;enhanced topic predictor;image captioning;retrieval-based topic re-weighting;subsequent topic predictor;topic embedding,Feature extraction;Semantics;Task analysis;Decoding;Visualization;Predictive models;Training,,6.0,,56.0,IEEE,29 Aug 2022,,,IEEE,IEEE Journals
Chaos in Inter-State-Controlled RLC Networks,A. S. Elwakil; A. Allagui; A. El-Mesady; A. Elsonbaty; S. Majzoub; B. J. Maundy,"Department of Electrical Engineering, University of Sharjah, Sharjah, UAE; Department of Sustainable and Renewable Energy, University of Sharjah, Sharjah, UAE; Department of Physics and Engineering Mathematics, Faculty of Electronic Engineering, Menoufia University, Menouf, Egypt; Department of Mathematics, College of Science and Humanities, Prince Sattam Bin Abdulaziz University, Al-Kharj, Saudi Arabia; Department of Electrical Engineering, University of Sharjah, Sharjah, UAE; Department of Electrical and Software Engineering, University of Calgary, Calgary, Canada",IEEE Transactions on Circuits and Systems II: Express Briefs,9 Jan 2024,2024,71,1.0,470,474,"In this brief, we study the classical RLC resonance network (which is a two-state network) when one or more of its re-active elements is controlled by the state variable of the other. In particular, we consider the case when the capacitor is current-controlled by the inductor current and the case when the inductor is voltage-controlled by the capacitor voltage as well as the case of simultaneous mutual control. These cases are termed inter-state-controlled resonance networks due to the embedded self feedback and are found to produce chaotic signals. Circuit simulations of an analog realization and experimental results from a digital circuit are provided to verify the theory.",1558-3791,,10.1109/TCSII.2023.3296528,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10186003,Chaos generation;chaotic oscillators;resonance networks;circuit theory,RLC circuits;Capacitors;Inductors;Voltage control;Mathematical models;Resistors;Behavioral sciences,,,,17.0,IEEE,18 Jul 2023,,,IEEE,IEEE Journals
A Metadata-Based Approach for Research Discipline Prediction Using Machine Learning Techniques and Distance Metrics,H. -S. Pham; H. Poelmans; A. Ali-Eldin,"Centre for Research and Development Monitoring (ECOOM-UHasselt), Hasselt, Belgium; Centre for Research and Development Monitoring (ECOOM-UHasselt), Hasselt, Belgium; Centre for Research and Development Monitoring (ECOOM-UHasselt), Hasselt, Belgium",IEEE Access,23 Jun 2023,2023,11,,61995,62012,"Forecasting research disciplines associated with research projects is a significant challenge in research information systems. It can reduce the administrative effort involved in entering research project-related metadata, eliminate human errors, and enhance the quality of research project metadata. It also enables the calculation of the degree of interdisciplinarity of these projects. However, predicting scientific research disciplines and measuring interdisciplinarity in a research endeavor remain difficult. In this paper, we propose a framework for predicting the research disciplines associated with a research project and measuring the degree of interdisciplinarity based on associated metadata to address these issues. The proposed framework consists of several components to improve the performance of research disciplines prediction and interdisciplinarity measurement systems. These include a feature extraction component that utilizes a topic model to extract the most appropriate features. Further, the framework proposes a discipline encoding component that applies a data mapping strategy to lower the dimensionality of the output variables. Furthermore, a distance matrix creation component is proposed to recommend the most appropriate research disciplines and compute interdisciplinarity associated with research projects. We implemented the suggested framework on two separate research information systems databases for research projects, Dimensions and the Flemish Research Information Space. Experimental results demonstrate that the proposed framework predicts the research disciplines associated with research projects more accurately than related work.",2169-3536,,10.1109/ACCESS.2023.3287935,"Centre for Research and Development Monitoring (ECOOM-UHasselt), Belgium through the Interdisciplinarity and Impact Project; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10156853,Metadata;research information systems (RIS);research disciplines prediction;interdisciplinarity;machine learning;distance metrics,Deep learning;Databases;Feature extraction;Metadata;Information systems;Predictive models;Task analysis,,1.0,,48.0,CCBYNCND,20 Jun 2023,,,IEEE,IEEE Journals
Informed Adaptive Sensing,A. Morssy; M. R. Frean; P. D. Teal,"School of Computer Science and Engineering, Victoria University of Wellington Faculty of Engineering, Wellington, New Zealand; School of Computer Science and Engineering, Victoria University of Wellington Faculty of Engineering, Wellington, New Zealand; School of Computer Science and Engineering, Victoria University of Wellington Faculty of Engineering, Wellington, New Zealand",IEEE Transactions on Pattern Analysis and Machine Intelligence,3 Apr 2024,2024,46,5.0,3230,3241,"For many inverse problems, the data on which the solution is based is acquired sequentially. We present an approach to the solution of such inverse problems where a sensor can be directed (or otherwise reconfigured on the fly) to acquire a particular measurement. An example problem is magnetic resonance image reconstruction. We use an estimate of mutual information derived from an empirical conditional distribution provided by a generative model to guide our measurement acquisition given measurements acquired so far. The conditionally generated data is a set of samples which are representative of the plausible solutions that satisfy the acquired measurements. We present experiments on toy and real world data sets. We focus on image data but we demonstrate that the method is applicable to a broader class of problems. We also show how a learned model such as a deep neural network can be leveraged to allow generalisation to unseen data. Our informed adaptive sensing method outperforms random sampling, variance based sampling, sparsity based methods, and compressed sensing.",1939-3539,,10.1109/TPAMI.2023.3340990,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10349951,Experimental design;inverse problems;iterative solution techniques;machine learning;medical imaging;phase retrieval;probabilistic algorithms,Inverse problems;Entropy;Adaptation models;Mutual information;Deep learning;Training;Numerical models,,,,48.0,IEEE,8 Dec 2023,,,IEEE,IEEE Journals
A Transformer-BERT Integrated Model-Based Automatic Conversation Method Under English Context,X. Li; T. Liu; L. Zhang; F. Alqahtani; A. Tolba,"Department of Foreign Languages and Literature, Gongqing College of Nanchang University, Jiujiang, China; School of Economics and Management, Gannan University of Science and Technology, Ganzhou, China; Department of Foreign Languages and Literature, Gongqing College of Nanchang University, Jiujiang, China; Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Science, Community College, King Saud University, Riyadh, Saudi Arabia",IEEE Access,23 Apr 2024,2024,12,,55757,55767,"The contextual understanding ability in complex conversation scenarios has been a challenging issue, and existing methods mostly failed to possess such characteristics. To bridge such gap, this paper formulates a novel composite large language model to investigate such issue. As a result, taking English context as the scene, a Transformer-BERT integrated model-based automatic conversation model is proposed in this work. Firstly, the unidirectional BERT-based automatic conversation model is improved by introducing attention mechanism. It is expected to enhance feature expression for conversation texts by linking context to identify long-difficult sentences. Besides, a bidirectional Transformer encoder is utilized as the input layer before the BERT encoder. Through the two modules, dynamic language training based on English situational conversations can be completed to build the automatic conversation model. The proposed conversation model is further assessed on massive real-world English language context in terms of conversation performance. The experimental results show that compared with traditional rule-based or machine learning methods, the proposal has significantly improved response quality and fluency in English context. It can more accurately understand context, capture subtle semantic differences, and generate more coherent responses.",2169-3536,,10.1109/ACCESS.2024.3388100,"Researchers Supporting Project(grant numbers:RSPD2024R681); King Saud University, Riyadh, Saudi Arabia; Key Project of the 14th Five-Year Plan of Jiangxi Provincial Education Sciencce, in 2023(grant numbers:23ZD046); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10497586,Large language model;automatic conversation;semantic context;natural language processing,Oral communication;Context modeling;Transformers;Natural language processing;Task analysis;Semantics;Training;Large language models,,,,31.0,CCBY,12 Apr 2024,,,IEEE,IEEE Journals
Contrastive Learning-Based Multimodal Fusion Model for Automatic Modulation Recognition,F. Liu; J. Pan; R. Zhou,"School of Electronics and Information Engineering, Heilongjiang University of Science and Technology, Harbin, China; School of Electronics and Information Engineering, Heilongjiang University of Science and Technology, Harbin, China; Department of Electrical and Computer Engineering, University of Massachusetts, Dartmouth, MA, USA",IEEE Communications Letters,8 Jan 2024,2024,28,1.0,78,82,"Multimodal fusion-based methods are a research hotspot for Automatic Modulation Recognition (AMR). But the existing methods primarily emphasize information integration and neglect the balance between the modalities. This letter proposes a novel Contrastive Learning-based Multimodal Fusion (CLMF) model, which integrates both signals and key features to enhance AMR. To obtain adequate signal representations, a contrastive learning architecture is proposed to learn the meaningful representations from the multimodal fusion data, and a Multi-Layer Perceptron (MLP) is incorporated for precise signal classification. Moreover, a threshold discrimination disturbance strategy is designed to balance the information conflicts arising from the two modalities. The experiments demonstrate the efficiency of the CLMF model for AMR on the public dataset.",1558-2558,,10.1109/LCOMM.2023.3336049,Scientific and Technological Key Project of Revealing the List and Taking Command in Heilongjiang Province(grant numbers:2021ZXJ02A02); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10332230,Automatic modulation recognition;contrastive learning;multimodal fusion;key features,Feature extraction;Modulation;Standards;Training;Wavelet transforms;Fuses;Data mining,,,,14.0,IEEE,28 Nov 2023,,,IEEE,IEEE Journals
Real-Time Multi-Task Facial Analytics With Event Cameras,C. Ryan; A. Elrasad; W. Shariff; J. Lemley; P. Kielty; P. Hurney; P. Corcoran,"Sensing Team, Xperi Inc., Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Department of Electronic Engineering, College of Science and Engineering, National University of Ireland Galway, Galway, Ireland; Sensing Team, Xperi Inc., Galway, Ireland; Department of Electronic Engineering, College of Science and Engineering, National University of Ireland Galway, Galway, Ireland",IEEE Access,31 Jul 2023,2023,11,,76964,76976,"Event cameras, unlike traditional frame-based cameras, excel in detecting and reporting changes in light intensity on a per-pixel basis. This unique technology offers numerous advantages, including high temporal resolution, low latency, wide dynamic range, and reduced power consumption. These characteristics make event cameras particularly well-suited for sensing applications such as monitoring drivers or human behavior. This paper presents a feasibility study on the using a multitask neural network with event cameras for real-time facial analytics. Our proposed network simultaneously estimates head pose, eye gaze, and facial occlusions. Notably, the network is trained on synthetic event camera data, and its performance is demonstrated and validated using real event data in real-time driving scenarios. To compensate for global head motion, we introduce a novel event integration method capable of handling both short and long-term temporal dependencies. The performance of our facial analytics method is quantitatively evaluated in both controlled lab environments and unconstrained driving scenarios. The results demonstrate that useful accuracy and computational speed is achieved by the proposed method to determining head pose and relative eye-gaze direction. This shows that neuromorphic facial analytics can be realized in real-time and are well-suited for edge/embedded computing deployments. While the improvement ratio in comparison to existing literature may not be as favorable due to the unique event-based vision approach employed, it is crucial to note that our research focuses specifically on event-based vision, which offers distinct advantages over traditional RGB vision. Overall, this study contributes to the emerging field of event-based vision systems and highlights the potential of multitask neural networks combined with event cameras for real-time sensing of human subjects. These techniques can be applied in practical applications such as driver monitoring systems, interactive human-computer systems and for human behavior analysis.",2169-3536,,10.1109/ACCESS.2023.3297500,"Sensing Team, Xperi Galway; Irish Research Council(grant numbers:EBPPG/2022/17); University of Galway and Xperi Inc.; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10188686,Event camera;neuromorphic sensing;driver monitoring system (DMS);head pose;eye gaze;facial occlusion,Cameras;Monitoring;Multitasking;Intelligent vehicles;Real-time systems;Task analysis;Event detection;Neuromorphic engineering;Advanced driver assistance systems;Pose estimation;Gaze tracking,,8.0,,57.0,CCBYNCND,20 Jul 2023,,,IEEE,IEEE Journals
